[2026-09-22T08:29:35.333Z] STOP_ADDED  name="Sholinganalur"  lat=12.898915026516537  lon=80.22789999582052
[2026-09-22T08:29:54.707Z] ASSIGNED  student="STD001"  ->  bus="BUS001"  stop="stop_1790065775332"
[2026-09-22T08:30:15.740Z] BUS_LOCATION  bus="BUS001"  lat=12.921398  lon=80.227900
[2026-09-22T08:37:20.922Z] BUS_LOCATION  bus="BUS001"  lat=12.915103  lon=80.227900
[2026-09-23T03:26:13.301Z] STOP_ADDED  name="Manivakkam Bus Stop"  lat=12.89453400209058  lon=80.06428654704236
[2026-09-23T03:26:36.098Z] STOP_ADDED  name="Attai Company"  lat=12.915344454422462  lon=80.07170837953134
[2026-09-23T03:33:26.574Z] STOP_ADDED  name="Bharathi Nagar Bus Stop"  lat=12.922040456988418  lon=80.09268047458359
[2026-09-23T03:36:43.697Z] STOP_ADDED  name="Krishna Nagar"  lat=12.914550515412259  lon=80.102523131074
[2026-09-23T03:38:14.175Z] STOP_ADDED  name="Lakshmipuram"  lat=12.927230423527634  lon=80.10162640627695
[2026-09-23T03:42:38.468Z] STOP_ADDED  name="Lake"  lat=12.927113032439934  lon=80.10443587550918
[2026-09-23T05:09:02.733Z] STOP_ADDED  name="St. Joseph's College of Engineering"  lat=12.899070165480914  lon=80.22785517768091
[2026-09-23T05:11:08.734Z] STOP_ADDED  name="Sholinganallur Bus Stop"  lat=12.899070165480914  lon=80.22785517768091
[2026-09-23T05:12:17.305Z] STOP_ADDED  name="Medavakkam Koot Road"  lat=12.923247986114337  lon=80.18674442186008
[2026-09-23T05:19:45.354Z] STOP_ADDED  name="Santhosapuram"  lat=12.919771242385385  lon=80.17101251017837
[2026-09-23T05:20:33.650Z] STOP_ADDED  name="Gowriwakkam Bus Stop"  lat=12.921695029497146  lon=80.16658787088346
[2026-09-23T05:21:22.656Z] STOP_ADDED  name="Sembakkam Bus Stop"  lat=12.925382106906897  lon=80.16020080627693
[2026-09-23T05:50:09.418Z] STOP_ADDED  name="Camp Road"  lat=12.907037900376114  lon=80.14266209672418
[2026-09-23T05:53:36.358Z] STOP_ADDED  name="East Tambaram Bus Stop"  lat=12.92355592014762  lon=80.12051969099284
[2026-09-23T05:56:15.900Z] STOP_ADDED  name="MCC Bus Stop"  lat=12.923151324534476  lon=80.12078813057445
[2026-09-23T05:57:00.744Z] STOP_ADDED  name="Bollineni Bus Stop"  lat=12.878753625218827  lon=80.20477656788786
[2026-09-23T05:57:50.192Z] STOP_ADDED  name="Sithalapakkam Panchayat"  lat=12.882920143585931  lon=80.19188867299496
[2026-09-23T05:58:43.191Z] STOP_ADDED  name="Jothi Nagar Bus Stop"  lat=12.901213891369977  lon=80.17240850569593
[2026-09-23T06:08:37.111Z] STOP_ADDED  name="Noothencheri Bus Stop"  lat=12.89812101635459  lon=80.16526350254533
[2026-09-23T06:09:28.094Z] STOP_ADDED  name="Madambakkam Transport Hub"  lat=12.900744323634063  lon=80.15927353961278
[2026-09-23T06:11:43.960Z] STOP_ADDED  name="VOC St."  lat=12.87884152514175  lon=80.2284846218591
[2026-09-23T06:12:16.827Z] STOP_ADDED  name="Tondiarpet Apollo Hospitals"  lat=13.12911232583  lon=80.29051736038299
[2026-09-23T06:12:47.826Z] STOP_ADDED  name="Mani Cycle Store"  lat=13.125351364028896  lon=80.28922591022143
[2026-09-23T06:14:26.812Z] STOP_ADDED  name="Thyagaraya College"  lat=13.11739136160155  lon=80.2854275471927
[2026-09-23T06:14:53.854Z] STOP_ADDED  name="Pandian Theatre"  lat=13.11658029238082  lon=80.2825739178607
[2026-09-23T06:16:01.274Z] STOP_ADDED  name="Mint Street"  lat=13.093894384808687  lon=80.27949119302775
[2026-09-23T06:16:55.952Z] STOP_ADDED  name="Semmancheri Bus Stop"  lat=12.860442872201418  lon=80.2265977742433
[2026-09-23T06:18:24.733Z] STOP_ADDED  name="Thoraipakkam Bus Stop"  lat=12.95219305668302  lon=80.24115928155668
[2026-09-23T06:18:55.944Z] STOP_ADDED  name="Taramani Bus Stop"  lat=12.990517093465348  lon=80.24046116706754
[2026-09-23T06:19:56.349Z] STOP_ADDED  name="Porur Juction Metro"  lat=13.036095763326745  lon=80.15689181919886
